name,hanja,category,meaning
민준,京昊,Honor,Dignity in every action
준호,善浩,Wisdom,Understanding that leads others
성민,娜民,Vision,Clarity to see beyond
도윤,智哲,Wisdom,Insight born from experience
지훈,星榮,Peace,Tranquil heart of a leader
민재,潤潤,Courage,Will to face all trials
승우,心潾,Vision,Purpose that leads forward
민재,恩民,Wisdom,Sharp mind and clear judgment
현우,眞俊,Courage,Fearless pursuit of right
시우,恩昊,Light,Clarity that guides others
민준,珠民,Strength,Enduring force of conviction
성민,映浩,Justice,Truth as the foundation
현준,希昊,Hope,Faith in endless possibility
지훈,娜弼,Light,Clarity that guides others
현준,珠宰,Hope,Optimism in every challenge
재윤,映鎭,Growth,Journey to self-mastery
민준,潾榮,Honor,Pride guided by righteousness
우진,瑛鎭,Light,Clarity that guides others
서준,眞哲,Honor,Pride guided by righteousness
현우,智榮,Light,Brightness of a pure heart
지호,潾勇,Honor,Pride guided by righteousness
도윤,慧宰,Vision,Imagination shaping tomorrow
서준,娜允,Light,Brightness of a pure heart
하준,善宇,Courage,Fearless pursuit of right
지호,珠榮,Peace,Tranquil heart of a leader
시우,珠燦,Courage,Fearless pursuit of right
준호,智允,Vision,Clarity to see beyond
서준,慧民,Honor,Pride guided by righteousness
재윤,映昊,Wisdom,Insight born from experience
유준,彩成,Light,Brightness of a pure heart
태윤,潾成,Faith,Loyalty beyond time
준우,慧昊,Vision,Clarity to see beyond
준호,星勇,Courage,Bravery in every step
승우,希昊,Wisdom,Insight born from experience
수현,京哲,Peace,Calm strength in adversity
현준,花宇,Unity,Strength through cooperation
수현,柔浩,Growth,Patience that nurtures progress
준호,雅弼,Growth,Ambition toward greatness
성민,星基,Courage,Bravery in every step
도현,智榮,Peace,Calm strength in adversity
현준,柔燦,Honor,Moral integrity unbroken
서준,恩俊,Unity,Connection that bridges hearts
유준,京昊,Strength,Unshakable courage and will
도현,娜民,Light,Clarity that guides others
우진,珠周,Wisdom,Understanding that leads others
재윤,彩哲,Growth,Patience that nurtures progress
준우,心榮,Wisdom,Understanding that leads others
민재,柔哲,Faith,Loyalty beyond time
유준,恩信,Growth,Journey to self-mastery
지호,潤燦,Honor,Moral integrity unbroken
준우,花允,Hope,Optimism in every challenge
유준,智宰,Faith,Dedication to truth and honor
수현,賢浩,Strength,Unshakable courage and will
준우,智周,Courage,Fearless pursuit of right
지훈,娜宰,Light,Clarity that guides others
지훈,彩宇,Vision,Clarity to see beyond
도윤,京榮,Strength,Enduring force of conviction
재윤,星永,Courage,Fearless pursuit of right
준호,花潤,Light,Clarity that guides others
지호,眞周,Hope,Vision for a better future
현우,娜基,Unity,Harmony built on respect
유준,潤泰,Unity,Connection that bridges hearts
재윤,映泰,Unity,Connection that bridges hearts
수현,潤潾,Courage,Bravery in every step
승우,心潤,Strength,Enduring force of conviction
하준,美燦,Courage,Will to face all trials
하준,柔炫,Vision,Clarity to see beyond
재윤,恩泰,Faith,Unwavering belief and trust
현우,珠泰,Courage,Bravery in every step
수현,順勇,Unity,Connection that bridges hearts
서준,順信,Justice,Fairness guiding decisions
도윤,潾允,Courage,Will to face all trials
승우,星浩,Courage,Bravery in every step
도현,柔宇,Light,Clarity that guides others
지호,花鎭,Hope,Optimism in every challenge
하준,美鎭,Justice,Fairness guiding decisions
민준,京鎭,Growth,Journey to self-mastery
승우,眞宰,Strength,Enduring force of conviction
지호,賢成,Vision,Purpose that leads forward
현준,星成,Vision,Imagination shaping tomorrow
민재,映俊,Vision,Imagination shaping tomorrow
민준,智俊,Light,Brightness of a pure heart
