name,hanja,category,meaning,initial
하은,花榮,Light,Radiance of the inner self,B
서윤,賢潾,Wisdom,Mind guided by clarity,K
하린,慧潤,Growth,Evolution through patience,K
예빈,智宇,Joy,Happiness that inspires others,W
서윤,潾弼,Faith,Trust built from sincerity,V
지민,順燦,Love,Heart filled with compassion,C
다혜,慧榮,Wisdom,Grace that enlightens the heart,H
하윤,眞允,Wisdom,Mind guided by clarity,G
민지,智成,Faith,Trust built from sincerity,I
수빈,花基,Wisdom,Grace that enlightens the heart,W
나연,瑛浩,Harmony,Unity of the great world,P
채원,雅浩,Faith,Trust built from sincerity,D
민지,瑛泰,Kindness,A gentle and caring soul,L
유진,希永,Faith,Trust built from sincerity,T
유진,眞允,Wisdom,Understanding beyond words,O
예진,善基,Wisdom,Understanding beyond words,O
유나,花基,Light,Beacon of truth and hope,C
유진,雅賢,Wisdom,Grace that enlightens the heart,W
지민,花信,Joy,Gratitude in simple moments,S
소연,珠榮,Kindness,Empathy that heals others,T
유나,順潾,Beauty,Natural charm of serenity,K
아린,花信,Hope,Dream that lights the future,V
서윤,珠燦,Harmony,Unity of the great world,T
예빈,眞宇,Beauty,Grace shining like sunlight,Y
채원,花燦,Beauty,Elegance born from kindness,C
채원,眞燦,Love,Heart filled with compassion,P
지수,彩浩,Faith,Devotion that strengthens the soul,L
소연,智炫,Hope,Endless faith in tomorrow,P
나연,眞宰,Kindness,A gentle and caring soul,J
소연,恩哲,Wisdom,Understanding beyond words,S
다인,美基,Light,Beacon of truth and hope,W
서윤,眞哲,Joy,Happiness that inspires others,H
예진,娜榮,Joy,Delight that fills the heart,S
민지,眞民,Love,Pure affection and kindness,Q
유진,智泰,Harmony,Balance of light and reflection,L
서연,京永,Harmony,Unity of the great world,V
아린,賢燦,Growth,Evolution through patience,G
다혜,恩弼,Peace,Serenity of the gentle mind,U
서윤,慧鎭,Wisdom,Grace that enlightens the heart,V
서연,賢哲,Beauty,Elegance born from kindness,N
유나,順周,Growth,Evolution through patience,D
다연,賢潤,Growth,Journey of self-discovery,U
서윤,慧永,Wisdom,Understanding beyond words,D
수빈,順宰,Beauty,Elegance born from kindness,P
다혜,彩成,Growth,Evolution through patience,A
하윤,彩成,Kindness,A gentle and caring soul,F
예진,珠基,Beauty,Grace shining like sunlight,P
다혜,雅哲,Wisdom,Understanding beyond words,V
민지,希鎭,Growth,Journey of self-discovery,D
수빈,恩燦,Love,Pure affection and kindness,Y
수빈,柔俊,Kindness,Empathy that heals others,E
다혜,潾賢,Joy,Happiness that inspires others,I
유나,柔宇,Wisdom,Grace that enlightens the heart,G
나연,星浩,Light,Radiance of the inner self,O
다혜,映永,Strength,Inner resilience and confidence,O
민지,賢泰,Wisdom,Grace that enlightens the heart,S
예진,星民,Faith,Trust built from sincerity,O
하은,潤宇,Wisdom,Mind guided by clarity,H
유나,瑛泰,Growth,Evolution through patience,J
다연,雅鎭,Hope,Dream that lights the future,Y
예빈,恩哲,Wisdom,Mind guided by clarity,F
지민,智潤,Beauty,Natural charm of serenity,R
수빈,眞周,Peace,Serenity of the gentle mind,G
예진,希泰,Kindness,A gentle and caring soul,J
서연,順榮,Peace,Calmness in every breath,F
하윤,恩哲,Strength,Courage wrapped in gentleness,D
서연,潤允,Light,Beacon of truth and hope,E
민지,柔弼,Beauty,Natural charm of serenity,R
아린,彩浩,Light,Purity that brightens hearts,F
다연,星成,Harmony,Balance of light and reflection,Y
예진,瑛泰,Faith,Trust built from sincerity,F
지민,順俊,Hope,Promise of brighter days,C
서연,善弼,Kindness,Generosity in spirit,M
아린,順榮,Harmony,Balance of light and reflection,W
지민,珠昊,Strength,Enduring calm power,D
서연,潤潾,Faith,Belief that never falters,G
채원,映基,Strength,Courage wrapped in gentleness,T
하은,星浩,Love,Warmth that embraces the world,E
하은,瑛燦,Wisdom,Grace that enlightens the heart,Z
수빈,彩哲,Wisdom,Mind guided by clarity,G
예빈,眞基,Growth,Evolution through patience,D
지민,彩永,Faith,Devotion that strengthens the soul,X
지수,恩宰,Love,Pure affection and kindness,G
하린,柔允,Growth,Endless potential unfolding,U
서연,眞潤,Growth,Evolution through patience,R
수빈,娜潤,Faith,Belief that never falters,U
하린,順潤,Strength,Enduring calm power,W
다연,希昊,Beauty,Natural charm of serenity,Z
하린,映宇,Strength,Enduring calm power,X
유진,善勇,Strength,Inner resilience and confidence,M
하린,雅榮,Peace,Serenity of the gentle mind,H
수빈,恩成,Love,Heart filled with compassion,T
아린,順哲,Strength,Inner resilience and confidence,Z
유진,星炫,Joy,Happiness that inspires others,C
다인,娜勇,Growth,Endless potential unfolding,Z
민지,慧民,Hope,Endless faith in tomorrow,R
하윤,星勇,Hope,Endless faith in tomorrow,B
나연,智賢,Faith,Belief that never falters,F
다인,瑛潾,Harmony,Calm coexistence with all things,R
예빈,心宰,Hope,Dream that lights the future,L
다인,順成,Kindness,A gentle and caring soul,E
하윤,映宇,Beauty,Natural charm of serenity,S
소연,智燦,Light,Beacon of truth and hope,Q
아린,花周,Faith,Trust built from sincerity,O
하린,美浩,Peace,Calmness in every breath,G
나연,心昊,Light,Beacon of truth and hope,G
하은,順成,Joy,Delight that fills the heart,T
지수,希民,Kindness,A gentle and caring soul,H
유진,恩勇,Wisdom,Grace that enlightens the heart,W
아린,潾成,Kindness,Empathy that heals others,T
하린,珠炫,Peace,Calmness in every breath,P
민지,潤浩,Joy,Happiness that inspires others,T
민지,映永,Hope,Promise of brighter days,M
수빈,花泰,Joy,Delight that fills the heart,U
수빈,娜信,Kindness,Generosity in spirit,Z
다인,花潾,Growth,Evolution through patience,P
나연,映永,Peace,Serenity of the gentle mind,Z
하린,珠榮,Kindness,A gentle and caring soul,D
하린,星賢,Joy,Delight that fills the heart,K
아린,星泰,Strength,Courage wrapped in gentleness,V
서윤,花宰,Joy,Happiness that inspires others,Y
다혜,星哲,Harmony,Balance of light and reflection,K
예빈,恩賢,Love,Heart filled with compassion,G
민지,柔宰,Wisdom,Grace that enlightens the heart,K
아린,瑛鎭,Strength,Enduring calm power,R
예진,眞允,Peace,Serenity of the gentle mind,S
하윤,恩民,Beauty,Natural charm of serenity,V
나연,彩允,Joy,Gratitude in simple moments,Q
하린,善宇,Kindness,Generosity in spirit,Y
다인,心鎭,Light,Purity that brightens hearts,H
서연,瑛哲,Wisdom,Grace that enlightens the heart,O
예진,順燦,Faith,Devotion that strengthens the soul,S
수빈,潤炫,Beauty,Grace shining like sunlight,D
하윤,善炫,Wisdom,Understanding beyond words,F
다연,珠永,Light,Beacon of truth and hope,E
하린,慧勇,Joy,Gratitude in simple moments,Q
다혜,雅弼,Faith,Devotion that strengthens the soul,H
하린,映宰,Growth,Evolution through patience,R
하린,映宇,Harmony,Balance of light and reflection,B
채원,柔宰,Light,Radiance of the inner self,A
다혜,星永,Peace,Serenity of the gentle mind,B
다연,恩浩,Kindness,A gentle and caring soul,P
예진,希昊,Hope,Endless faith in tomorrow,M
서윤,柔賢,Light,Beacon of truth and hope,W
서연,珠宇,Light,Radiance of the inner self,E
하린,柔炫,Hope,Dream that lights the future,B
다혜,希昊,Peace,Calmness in every breath,J
유나,映宇,Light,Beacon of truth and hope,K
하은,潤昊,Growth,Endless potential unfolding,V
민지,潤賢,Kindness,Generosity in spirit,R
서윤,善昊,Peace,Tranquility that soothes the soul,U
아린,賢哲,Wisdom,Grace that enlightens the heart,I
하은,希炫,Hope,Promise of brighter days,K
서연,娜宇,Hope,Dream that lights the future,C
민지,瑛弼,Harmony,Balance of light and reflection,G
민지,心宇,Love,Warmth that embraces the world,A
다혜,智成,Light,Purity that brightens hearts,I
소연,眞弼,Light,Purity that brightens hearts,Q
예빈,彩周,Strength,Inner resilience and confidence,Z
다연,心信,Strength,Inner resilience and confidence,H
지민,花浩,Kindness,A gentle and caring soul,B
유나,希炫,Light,Purity that brightens hearts,Y
지민,賢宇,Hope,Promise of brighter days,G
나연,善成,Growth,Endless potential unfolding,P
지민,恩哲,Light,Purity that brightens hearts,T
